learning_rate,dropout,optimizer,batch_size,final_train_loss,final_train_acc,final_val_loss,final_val_acc,best_val_acc,best_val_loss
0.001,0.0,Adam,32,1.2603698019186655,0.562,1.2665862387021383,0.5643333333333334,0.5643333333333334,1.2665862387021383
0.001,0.0,Adam,64,1.2620732776323955,0.5605416666666667,1.2960978267987568,0.5435,0.5435,1.2960978267987568
0.001,0.0,RMSprop,32,1.26545543662707,0.5586666666666666,1.296198890209198,0.5461666666666667,0.5461666666666667,1.296198890209198
0.001,0.0,RMSprop,64,1.305702838897705,0.5460416666666666,1.37081046072642,0.5178333333333334,0.5178333333333334,1.37081046072642
0.001,0.3,Adam,32,1.3595859093666076,0.5286666666666666,1.3672805465062459,0.5243333333333333,0.5243333333333333,1.3672805465062459
0.001,0.3,Adam,64,1.368491268714269,0.522,1.3635524090131124,0.5353333333333333,0.5353333333333333,1.3635524090131124
0.001,0.3,RMSprop,32,1.3681527325312297,0.5230833333333333,1.3600611112912495,0.5233333333333333,0.5233333333333333,1.3600611112912495
0.001,0.3,RMSprop,64,1.3625721298853557,0.526125,1.3276021731694538,0.5308333333333334,0.5308333333333334,1.3276021731694538
0.001,0.5,Adam,32,1.4156616711616516,0.507875,1.378256669362386,0.5165,0.5165,1.378256669362386
0.001,0.5,Adam,64,1.4530996216932932,0.49895833333333334,1.3754193649291993,0.5171666666666667,0.5171666666666667,1.3754193649291993
0.001,0.5,RMSprop,32,1.4464252849419912,0.4982083333333333,1.3743663620948792,0.5288333333333334,0.5288333333333334,1.3743663620948792
0.001,0.5,RMSprop,64,1.4327874862353007,0.5022083333333334,1.3588719331423442,0.5295,0.5295,1.3588719331423442
0.0001,0.0,Adam,32,1.7641472237904867,0.38545833333333335,1.7388143765131632,0.40116666666666667,0.40116666666666667,1.7388143765131632
0.0001,0.0,Adam,64,1.7616015938123066,0.38729166666666665,1.75819260485967,0.3893333333333333,0.3893333333333333,1.75819260485967
0.0001,0.0,RMSprop,32,1.8740057428677876,0.34491666666666665,1.8709934584299723,0.3481666666666667,0.3481666666666667,1.8709934584299723
0.0001,0.0,RMSprop,64,1.7990624821980794,0.373625,1.8025506359736125,0.3611666666666667,0.3611666666666667,1.8025506359736125
0.0001,0.3,Adam,32,1.799682812054952,0.36875,1.757664533297221,0.38333333333333336,0.38333333333333336,1.757664533297221
0.0001,0.3,Adam,64,1.8472918717066447,0.35275,1.8084149109522503,0.36733333333333335,0.36733333333333335,1.8084149109522503
0.0001,0.3,RMSprop,32,1.8510235524177552,0.34829166666666667,1.7959632501602172,0.37083333333333335,0.37083333333333335,1.7959632501602172
0.0001,0.3,RMSprop,64,1.880927852153778,0.34291666666666665,1.8477546482086182,0.35633333333333334,0.35633333333333334,1.8477546482086182
0.0001,0.5,Adam,32,1.8446351426442464,0.3534583333333333,1.7916111812591553,0.38066666666666665,0.38066666666666665,1.7916111812591553
0.0001,0.5,Adam,64,1.8708888200124105,0.342625,1.8233785378138225,0.3591666666666667,0.3591666666666667,1.8233785378138225
0.0001,0.5,RMSprop,32,1.8720008265177408,0.342375,1.8324803225199382,0.361,0.361,1.8324803225199382
0.0001,0.5,RMSprop,64,1.909481699625651,0.3270416666666667,1.8541680466334025,0.354,0.354,1.8541680466334025
