framework,learning_rate,dropout_rate,optimizer,batch_size,final_train_loss,final_train_acc,final_val_loss,final_val_acc,best_val_acc,best_val_loss
Manual Grid Search,0.001,0.0,Adam,32,1.315362998644511,0.5420416666666666,1.4209515250523885,0.511,0.526,1.3842817752361298
Manual Grid Search,0.001,0.0,Adam,64,1.3070957225958506,0.5409583333333333,1.3622620037396749,0.5193333333333333,0.5223333333333333,1.3547531900405885
Manual Grid Search,0.001,0.0,RMSprop,32,1.29906555891037,0.5524583333333334,1.3111266803741455,0.5408333333333334,0.5408333333333334,1.3111266803741455
Manual Grid Search,0.001,0.0,RMSprop,64,1.269699507077535,0.5594166666666667,1.284314674695333,0.551,0.551,1.284314674695333
Manual Grid Search,0.001,0.0,SGD,32,2.2250294138590494,0.1735,2.2223931694030763,0.174,0.174,2.2223931694030763
Manual Grid Search,0.001,0.0,SGD,64,2.1797834626833597,0.19833333333333333,2.161361747741699,0.2025,0.2025,2.161361747741699
Manual Grid Search,0.001,0.3,Adam,32,1.3694876479307811,0.5232083333333334,1.3466860388120014,0.534,0.534,1.3466860388120014
Manual Grid Search,0.001,0.3,Adam,64,1.371017523129781,0.5210833333333333,1.388780132452647,0.5148333333333334,0.5248333333333334,1.364979461034139
Manual Grid Search,0.001,0.3,RMSprop,32,1.3886778070926666,0.5167083333333333,1.3719536390304565,0.518,0.518,1.3719536390304565
Manual Grid Search,0.001,0.3,RMSprop,64,1.3649227498372396,0.527125,1.3209557026227314,0.5435,0.5435,1.3209557026227314
Manual Grid Search,0.001,0.3,SGD,32,2.1939881938298544,0.18875,2.1706402905782065,0.20466666666666666,0.20466666666666666,2.1706402905782065
Manual Grid Search,0.001,0.3,SGD,64,2.2265087410608926,0.16829166666666667,2.195585001627604,0.20383333333333334,0.20383333333333334,2.195585001627604
Manual Grid Search,0.001,0.5,Adam,32,1.4558074368635814,0.49545833333333333,1.3983296701113384,0.5093333333333333,0.5181666666666667,1.3983296701113384
Manual Grid Search,0.001,0.5,Adam,64,1.4642195870081585,0.49645833333333333,1.3913956457773844,0.5106666666666667,0.5106666666666667,1.3913956457773844
Manual Grid Search,0.001,0.5,RMSprop,32,1.412029486576716,0.5094583333333333,1.3930396054585774,0.5128333333333334,0.516,1.3854530208905538
Manual Grid Search,0.001,0.5,RMSprop,64,1.4462450896104178,0.49995833333333334,1.3703813095092774,0.5213333333333333,0.5213333333333333,1.3703813095092774
Manual Grid Search,0.001,0.5,SGD,32,2.288903465906779,0.14554166666666668,2.2693820234934488,0.16816666666666666,0.16966666666666666,2.2693820234934488
Manual Grid Search,0.001,0.5,SGD,64,2.1881988641421,0.1905,2.1669831562042234,0.205,0.205,2.1669831562042234
Manual Grid Search,0.0003,0.0,Adam,32,1.5297238655885061,0.4674583333333333,1.4896457564036052,0.4775,0.4775,1.4896457564036052
Manual Grid Search,0.0003,0.0,Adam,64,1.5301945277849833,0.467875,1.5100047419865925,0.4705,0.4705,1.5100047419865925
Manual Grid Search,0.0003,0.0,RMSprop,32,1.5514312988917034,0.4583333333333333,1.5264908612569172,0.47483333333333333,0.47483333333333333,1.5264908612569172
Manual Grid Search,0.0003,0.0,RMSprop,64,1.5369255698521933,0.46391666666666664,1.5223752241134643,0.4775,0.4775,1.5223752241134643
Manual Grid Search,0.0003,0.0,SGD,32,2.2986739740371704,0.15220833333333333,2.2976809482574465,0.16216666666666665,0.16216666666666665,2.2976809482574465
Manual Grid Search,0.0003,0.0,SGD,64,2.3007165419260662,0.13166666666666665,2.3003307984670003,0.1335,0.1335,2.3003307984670003
Manual Grid Search,0.0003,0.3,Adam,32,1.617128733476003,0.4334166666666667,1.5694143902460733,0.44133333333333336,0.44133333333333336,1.5694143902460733
Manual Grid Search,0.0003,0.3,Adam,64,1.6101091060638428,0.4404166666666667,1.5624472703933716,0.464,0.464,1.5624472703933716
Manual Grid Search,0.0003,0.3,RMSprop,32,1.6123402857780456,0.4402083333333333,1.5932287084261576,0.43833333333333335,0.4395,1.5932287084261576
Manual Grid Search,0.0003,0.3,RMSprop,64,1.5702970306078592,0.45275,1.509036653359731,0.47,0.47,1.509036653359731
Manual Grid Search,0.0003,0.3,SGD,32,2.3006759875615437,0.11391666666666667,2.3000701789855955,0.12483333333333334,0.12483333333333334,2.3000701789855955
Manual Grid Search,0.0003,0.3,SGD,64,2.300200219790141,0.12216666666666667,2.299468870798747,0.16416666666666666,0.16416666666666666,2.299468870798747
