augmentation,final_train_loss,final_train_acc,final_val_loss,final_val_acc,best_val_acc,best_val_loss
No_Augmentation,0.9357033630609513,0.6753333333333333,1.3678290996551514,0.5481666666666667,0.5721666666666667,1.2688153874079386
Basic_Augmentation,1.1140978523890177,0.6117916666666666,1.2006230663458506,0.591,0.591,1.1972551786104837
Strong_Augmentation,1.2805988204479217,0.55225,1.207727637132009,0.5815,0.5815,1.207727637132009
